subject,protocol,acc,acc_sd,f1,kappa
1,A_random5fold_mixed_sessions,0.7413643178410795,0.01866794901847447,0.7400642230326655,0.6551114283362548
2,A_random5fold_mixed_sessions,0.487736131934033,0.03399913777796449,0.4776270059151949,0.3166653629367583
3,A_random5fold_mixed_sessions,0.6961619190404796,0.02081693893724645,0.6967561192096754,0.5948321034097981
4,A_random5fold_mixed_sessions,0.517511244377811,0.044953156824576054,0.514266103307784,0.35686261557191723
5,A_random5fold_mixed_sessions,0.3924587706146927,0.06234963232834143,0.3921240174713173,0.1905484789272162
6,A_random5fold_mixed_sessions,0.437496251874063,0.02014204797129621,0.41926806622482465,0.2499266694839566
7,A_random5fold_mixed_sessions,0.6075562218890556,0.04407955203199023,0.6037778411322761,0.47670179899342474
8,A_random5fold_mixed_sessions,0.7414092953523239,0.03790920907365882,0.7392189603225859,0.6551511671465091
9,A_random5fold_mixed_sessions,0.6683958020989506,0.029364249101754843,0.6604470911447378,0.5577908655927188
1,B_within_session_5fold,0.7496067755595885,0.06035931306384892,0.7462197663295561,0.6659307221666844
2,B_within_session_5fold,0.5834240774349666,0.07852459505075181,0.5741879859110115,0.4442416349893167
3,B_within_session_5fold,0.6979431336963098,0.04750755854186669,0.697302231523026,0.5971115057161359
4,B_within_session_5fold,0.49274047186932857,0.046435608872281466,0.49202818526322406,0.3236114705973678
5,B_within_session_5fold,0.3891107078039927,0.02682957977742288,0.37050725289033554,0.18449307964672867
6,B_within_session_5fold,0.4552934059286146,0.07709449499113359,0.45228457104825204,0.27404453366846643
7,B_within_session_5fold,0.6981851179673322,0.07894502735076996,0.6955827893466389,0.5976587916052255
8,B_within_session_5fold,0.791772534785239,0.07311234492182717,0.7908825178652765,0.7220431922723316
9,B_within_session_5fold,0.579915305505142,0.07162627122690042,0.5665236367800126,0.439116302936785
1,C_cross_session,0.7118055555555556,,0.7142642614267096,0.6157407407407407
2,C_cross_session,0.4930555555555556,,0.4474358974358974,0.32407407407407407
3,C_cross_session,0.6493055555555556,,0.6421584641061651,0.5324074074074074
4,C_cross_session,0.6041666666666666,,0.5963497312972534,0.4722222222222222
5,C_cross_session,0.4097222222222222,,0.41122505601184134,0.2129629629629629
6,C_cross_session,0.4722222222222222,,0.4543409586056645,0.2962962962962963
7,C_cross_session,0.4444444444444444,,0.39223461460303566,0.2592592592592593
8,C_cross_session,0.7118055555555556,,0.7023219882269947,0.6157407407407407
9,C_cross_session,0.6944444444444444,,0.6786585432633758,0.5925925925925926
1,D_LOSO,0.3854166666666667,,0.3140944265205265,0.18055555555555558
2,D_LOSO,0.24131944444444445,,0.13012375929364248,-0.011574074074074181
3,D_LOSO,0.5121527777777778,,0.4723825661163492,0.3495370370370371
4,D_LOSO,0.3315972222222222,,0.21455385318717907,0.10879629629629628
5,D_LOSO,0.25,,0.1,0.0
6,D_LOSO,0.2482638888888889,,0.10300857480780602,-0.0023148148148148806
7,D_LOSO,0.3715277777777778,,0.31540149765982,0.1620370370370371
8,D_LOSO,0.2552083333333333,,0.11090745022841351,0.00694444444444442
9,D_LOSO,0.25,,0.1,0.0
